1343865126 0 440
1343870553 97091 440
1343870658 97091 440
1343871338 97521 440
1343876279 97525 440
1343876321 97554 440
1343876338 97554 440
1343921442 97554 2434
1343929619 97554 2530
1343960527 97554 2635
1343961498 97584 2635
1343961550 97644 2635
1343961586 97644 2635
1343961695 97644 2664
1343961834 97644 2664
1343964964 97644 2664
1343969052 97705 2664
1343970749 97705 2664
1344000211 97707 2664
1344006915 97836 2664
1344008818 97850 2664
1344015755 98019 2664
1344015796 98023 2664
1344015837 98024 2664
1344019420 98068 2664
1344035395 98074 2664
1344035421 98075 2664
1344036111 98075 2666
1344036473 98075 2667
1344265943 98075 2701
1344266252 98077 2701
1344266255 98077 2701
1344266299 98077 2703
1344274468 98077 2703
