1343865126 0 1
1343870553 1 1
1343870658 2 1
1343871338 3 1
1343876279 4 1
1343876321 5 1
1343876338 6 1
1343921442 6 2
1343929619 6 3
1343960527 6 4
1343961498 7 4
1343961550 8 4
1343961586 9 4
1343961695 9 5
1343961834 9 6
1343964964 10 6
1343969052 11 6
1343970749 12 6
1344000211 13 6
1344006915 14 6
1344008818 15 6
1344015755 16 6
1344015796 17 6
1344015837 18 6
1344019420 19 6
1344035395 20 6
1344035421 21 6
1344036111 21 7
1344036473 21 8
1344265943 21 9
1344266252 22 9
1344266255 23 9
1344266299 23 10
1344274468 24 10
